Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    JPN,     .,    .,     ., 1948, 1948, 36,     1,   ACY,       1,0.16192,3.49860,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 37,     1,   ACY,       1,0.14752,3.66052,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 38,     1,   ACY,       1,0.13130,3.80804,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 39,     1,   ACY,       1,0.11512,3.93934,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 40,     1,   ACY,       1,0.09547,4.05446,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 41,     1,   ACY,       1,0.07335,4.14993,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 42,     1,   ACY,       1,0.05281,4.22328,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 43,     1,   ACY,       1,0.03510,4.27609,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 44,     1,   ACY,       1,0.02090,4.31119,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 45,     1,   ACY,       1,0.01071,4.33209,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 46,     1,   ACY,       1,0.00542,4.34280,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 47,     1,   ACY,       1,0.00278,4.34822,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 48,     1,   ACY,       1,0.00155,4.35100,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1948, 1948, 49,     1,   ACY,       1,0.00082,4.35255,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1948, 1948, 50,    99,   ACY,       1,0.00041,4.35337,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1949, 1949, 14,   -99,   ACY,       1,0.00004,0.00000,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1949, 1949, 15,     1,   ACY,       1,0.00036,0.00004,       ODE,  estimate,    JPN_01,   .,    2
    JPN,     .,    .,     ., 1949, 1949, 16,     1,   ACY,       1,0.00222,0.00040,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 17,     1,   ACY,       1,0.00798,0.00262,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 18,     1,   ACY,       1,0.02191,0.01060,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 19,     1,   ACY,       1,0.05115,0.03251,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 20,     1,   ACY,       1,0.09248,0.08366,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 21,     1,   ACY,       1,0.14122,0.17614,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 22,     1,   ACY,       1,0.19028,0.31736,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 23,     1,   ACY,       1,0.22939,0.50764,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 24,     1,   ACY,       1,0.25378,0.73703,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 25,     1,   ACY,       1,0.26603,0.99081,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 26,     1,   ACY,       1,0.27192,1.25684,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 27,     1,   ACY,       1,0.27160,1.52876,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 28,     1,   ACY,       1,0.26465,1.80036,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 29,     1,   ACY,       1,0.24673,2.06501,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 30,     1,   ACY,       1,0.23269,2.31174,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 31,     1,   ACY,       1,0.22402,2.54443,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 32,     1,   ACY,       1,0.21495,2.76845,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 33,     1,   ACY,       1,0.19642,2.98340,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 34,     1,   ACY,       1,0.18113,3.17982,       ODE,  estimate,    JPN_01,   .,    0
    JPN,     .,    .,     ., 1949, 1949, 35,     1,   ACY,       1,0.16514,3.36095,       ODE,  estimate,    JPN_01,   .,    0
